Période;ID client;AGE;situation familiale;date entrée en relation LCL;capacité juridique;régime matrimonial;Nombre d'enfants;Age enfant 1;Age enfant 2;Age enfant 3;Age enfant 4;Age enfant 5;CSP
AOUT;00-07-F3-D5;49;Marié(e);11/01/2005;Capable;Communauté réduite aux acquets;0;0;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;00-16-EC-76;33;Célibataire;24/05/2021;Capable;Pas de régime (non marié);0;0;0;0;0;0;CADRE D'ENTREPRISE
AOUT;00-2F-64-DD;20;Célibataire;17/07/2023;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT GRANDES ECOLES
AOUT;00-59-58-E4;60;Marié(e);01/01/1986;Capable;Communauté réduite aux acquets;3;34;30;25;0;0;SANS ACTIV. PROF. - 60 ANS
AOUT;00-73-B8-E6;62;Marié(e);01/01/1985;Capable;0;3;34;30;24;0;0;SANS ACTIV. PROF. - 60 ANS
AOUT;00-73-B8-E6;62;Marié(e);01/01/1985;Capable;Communauté réduite aux acquets;3;34;30;24;0;0;SANS ACTIV. PROF. - 60 ANS
AOUT;00-76-65-D4;44;Marié(e);18/06/2003;Capable;Communauté réduite aux acquets;2;15;13;0;0;0;EMPLOYE ADM. DES ENTREPRISES
AOUT;00-76-6B-44;20;Célibataire;29/09/2022;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT GRANDES ECOLES
AOUT;00-93-D3-76;56;Marié(e);01/01/1988;Capable;Régime de droit étranger;2;21;23;0;0;0;OUVRIERS
AOUT;00-9E-BD-4C;35;Célibataire;03/07/2012;Capable;Pas de régime (non marié);0;0;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;00-B8-91-CC;37;Célibataire;15/04/2019;Capable;Pas de régime (non marié);0;0;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;00-B9-E8-22;35;Célibataire;16/10/2008;Protégé;Pas de régime (non marié);0;0;0;0;0;0;EMPLOYE FCT PUBLIQUE
AOUT;00-CF-B6-E0;68;Marié(e);14/05/1997;Capable;Régime légal à compter du 01/02/1966;0;0;0;0;0;0;CADRE FCT PUBLIQUE
AOUT;00-D3-3D-F2;58;Célibataire;01/01/1989;Capable;Pas de régime (non marié);3;23;21;19;0;0;PROFESSEUR ET ASSIMILE
AOUT;00-D3-40-3C;27;Célibataire;02/10/2009;Capable;Pas de régime (non marié);0;0;0;0;0;0;CADRE D'ENTREPRISE
AOUT;01-17-7A-D5;66;Marié(e);11/03/1993;Capable;0;0;0;0;0;0;0;PROFESSEUR ET ASSIMILE
AOUT;01-17-7A-D5;66;Marié(e);11/03/1993;Capable;Régime de droit étranger;0;0;0;0;0;0;PROFESSEUR ET ASSIMILE
AOUT;01-1E-39-9C;37;Marié(e);31/01/2017;Capable;Séparation de biens;2;5;1;0;0;0;EMPLOYE ADM. DES ENTREPRISES
AOUT;01-23-F9-B7;1;Célibataire;15/06/2000;Capable;Pas de régime (non marié);0;0;0;0;0;0;OUVRIERS
AOUT;01-40-B3-9A;23;Célibataire;17/10/2022;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;01-53-50-48;18;Célibataire;21/08/2023;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT GRANDES ECOLES
AOUT;01-8E-91-FE;41;Célibataire;13/09/2000;Capable;Pas de régime (non marié);0;0;0;0;0;0;CADRE D'ENTREPRISE
AOUT;01-98-87-67;31;Célibataire;01/12/2004;Capable;0;1;4;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;01-98-87-67;31;Célibataire;01/12/2004;Capable;Pas de régime (non marié);1;4;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;01-9C-7C-23;26;Célibataire;19/08/2020;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;01-BB-A6-37;29;Célibataire;18/12/2001;Capable;Pas de régime (non marié);0;0;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;01-D2-6D-A7;8;Célibataire;01/09/2016;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;01-D9-D3-58;22;Célibataire;07/03/2017;Capable;Pas de régime (non marié);0;0;0;0;0;0;SANS ACTIV. PROF. - 60 ANS
AOUT;01-E2-09-B9;40;Célibataire;03/03/2022;Capable;Pas de régime (non marié);0;0;0;0;0;0;EMPLOYE ADM. DES ENTREPRISES
AOUT;01-E6-E7-D1;28;Célibataire;08/07/2014;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT AUTRE QUE 8401 ET 8402
AOUT;01-E8-B7-0A;31;Célibataire;06/02/2013;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT GRANDES ECOLES
AOUT;02-01-3B-0D;52;Marié(e);09/08/2015;Capable;Communauté réduite aux acquets;0;0;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;02-11-D5-BC;47;Célibataire;30/06/2015;Capable;Pas de régime (non marié);0;0;0;0;0;0;HUISSIER, OFFI. MINIS., DIV. PROF. LIB.
AOUT;02-12-D2-06;60;Célibataire;01/01/1984;Capable;Pas de régime (non marié);2;30;26;0;0;0;EMPLOYE ADM. DES ENTREPRISES
AOUT;02-1A-E4-C1;21;Célibataire;06/02/2023;Capable;Pas de régime (non marié);0;0;0;0;0;0;OUVRIERS
AOUT;02-33-08-C0;37;Célibataire;13/09/2012;Capable;Pas de régime (non marié);0;0;0;0;0;0;COMMERCANT ET ASSIMILE
AOUT;02-3B-C9-6C;63;Veuf (veuve);18/08/1998;Capable;Communauté réduite aux acquets;4;29;26;22;20;0;EMPLOYE FCT PUBLIQUE
AOUT;02-3B-C9-6C;63;Veuf (veuve);18/08/1998;Capable;Pas de régime (non marié);4;29;26;22;20;0;EMPLOYE FCT PUBLIQUE
AOUT;02-5C-CC-92;66;Marié(e);01/01/1991;Capable;Communauté réduite aux acquets;1;38;0;0;0;0;RETRAITE (SANS PRECISION)
AOUT;02-5C-CC-92;66;Marié(e);01/01/1991;Capable;Communauté universelle;1;38;0;0;0;0;RETRAITE (SANS PRECISION)
AOUT;02-60-62-73;42;Célibataire;17/06/2014;Capable;Pas de régime (non marié);1;11;0;0;0;0;EMPLOYE ADM. DES ENTREPRISES
AOUT;02-67-F3-36;98;Veuf (veuve);01/01/1968;Capable;Régime légal avant le 01/02/1966;2;64;61;0;0;0;RETRAITE (SANS PRECISION)
AOUT;02-72-06-DF;7;Célibataire;24/06/2019;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;02-97-96-B2;24;Célibataire;23/08/2022;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT GRANDES ECOLES
AOUT;02-A1-F1-AD;14;Célibataire;26/11/2010;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;02-A2-30-15;59;Marié(e);02/06/2016;Capable;Régime légal à compter du 01/02/1966;2;30;27;0;0;0;TECHNIC. CONTREMAIT. AGT MAITRISE
AOUT;02-A4-59-C8;25;Célibataire;28/09/2018;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;02-A5-71-59;64;Marié(e);03/04/2023;Capable;0;2;22;17;0;0;0;SANS ACTIV. PROF. - 60 ANS
AOUT;02-A5-71-59;64;Marié(e);03/04/2023;Capable;Régime de droit étranger;2;22;17;0;0;0;SANS ACTIV. PROF. - 60 ANS
AOUT;02-B2-25-E0;18;Célibataire;02/10/2008;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;02-BD-47-11;13;Célibataire;20/05/2014;Capable;Pas de régime (non marié);0;0;0;0;0;0;SANS ACTIV. PROF. - 60 ANS
AOUT;02-DF-4C-93;19;Célibataire;27/06/2023;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT GRANDES ECOLES
AOUT;02-DF-C5-7B;45;Marié(e);16/05/2005;Capable;Régime de droit étranger;2;18;16;0;0;0;CADRE D'ENTREPRISE
AOUT;02-E5-AF-B2;66;Marié(e);31/12/1986;Capable;Communauté réduite aux acquets;3;22;22;11;0;0;ARTISAN REPARATIONS ET SERVICES
AOUT;02-F3-FF-25;30;Célibataire;09/10/2020;Capable;Pas de régime (non marié);0;0;0;0;0;0;EMPLOYE ADM. DES ENTREPRISES
AOUT;02-F5-C1-C1;36;Célibataire;31/07/2014;Capable;Pas de régime (non marié);0;0;0;0;0;0;OUVRIERS
AOUT;03-19-55-73;12;Célibataire;03/12/2021;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;03-19-7D-49;29;Célibataire;30/08/2018;Capable;Pas de régime (non marié);0;0;0;0;0;0;ETUDIANT GRANDES ECOLES
AOUT;03-2E-4C-06;36;Marié(e);28/05/2015;Capable;Pas de régime (non marié);1;2;0;0;0;0;CADRE D'ENTREPRISE
AOUT;03-2E-4C-06;36;Marié(e);28/05/2015;Capable;Séparation de biens;1;2;0;0;0;0;CADRE D'ENTREPRISE
AOUT;03-60-5A-C4;32;Célibataire;18/10/2020;Capable;0;0;0;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;03-60-5A-C4;32;Célibataire;18/10/2020;Capable;Pas de régime (non marié);0;0;0;0;0;0;EMPLOYE DE COMMERCE
AOUT;03-8A-04-A8;16;Célibataire;27/11/2007;Capable;Pas de régime (non marié);0;0;0;0;0;0;ELEVE
AOUT;03-9C-F1-AB;69;Marié(e);14/06/2021;Capable;Séparation de biens;0;0;0;0;0;0;ARTISAN FABRICATION
